"","Cat","E_coord","N_coord","Вид","КБЕ","РЕ","КРЕ","Праистория","Неолит","Халколит","Бронз","Раннобронзова","Желязна","Ранножелязна","Късножелязна","Елинизъм","Късноантична","СредновековиеXIV","СредновековиеXVII","Ранноср.","Зрялоср.","КСр."
"18",147,25.38198167,42.57241334,"Крепост",2,0,0,0,0,0,2,0,4,2,2,0,1,2,2,1,1,0
"19",148,25.384965,42.57140834,"Селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"20",152,25.377458,42.582703,"Селище",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"21",157,25.369678,42.581223,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"22",164,25.683105,42.622264,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"23",165,25.68189,42.627432,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"24",166,25.666223,42.634963,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"25",167,25.666971,42.641683,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"26",168,25.715,42.62416667,"Селище",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",169,25.688457,42.621949,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"28",175,25.685597,42.606364,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1
"29",197,25.201851,42.631771,"Селище",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"30",200,25.228821,42.618658,"Селище",0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0
"31",209,25.223544,42.617151,"Светилище",0,1,1,0,0,0,0,0,2,0,2,2,3,0,0,0,0,0
"32",210,25.215766,42.618756,"Селище",0,1,0,0,0,0,0,0,2,0,2,1,0,1,1,0,0,0
"33",225,25.244627,42.616156,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"34",243,25.157731,42.60483,"Крепост",0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
"35",244,25.156944,42.604324,"Селище",0,2,0,0,0,0,0,0,2,0,2,0,2,1,1,0,0,0
"36",249,25.163077,42.626484,"Селищна могила",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"37",249,25.163077,42.626484,"Селище?",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"38",250,25.133105,42.57978,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"39",251,25.1665,42.629323,"Селищна могила",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",251,25.1665,42.629323,"Селище?",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
